timestamp,p2p_best_buy_bob,p2p_best_sell_bob,p2p_avg_buy_bob,p2p_avg_sell_bob,p2p_spread_bob,btc_usdt,eth_usdt
2026-04-01 19:58:21,9.3,9.32,9.308,9.314,-0.02,68147.0,2142.6
2026-04-01 20:43:42,9.29,9.32,9.298,9.316,-0.03,68113.0,2138.19
2026-04-01 21:42:05,9.29,9.32,9.304,9.316,-0.03,68378.0,2156.67
2026-04-01 22:38:00,9.29,9.32,9.298,9.316,-0.03,68185.0,2144.83
2026-04-01 23:36:34,9.29,9.32,9.302,9.316,-0.03,68085.0,2140.11
2026-04-02 02:24:32,9.3,9.32,9.306,9.316,-0.02,66904.0,2084.46
2026-04-02 05:03:04,9.29,9.33,9.298,9.32,-0.04,66340.0,2044.94
2026-04-02 07:13:50,9.29,9.33,9.298,9.32,-0.04,66570.0,2045.31
2026-04-02 08:58:03,9.29,9.33,9.298,9.32,-0.04,66472.0,2046.83
2026-04-02 10:07:37,9.29,9.33,9.298,9.32,-0.04,66424.0,2042.65
2026-04-02 11:45:19,9.29,9.32,9.304,9.316,-0.03,66323.0,2033.64
2026-04-02 13:15:09,9.29,9.32,9.298,9.314,-0.03,65995.0,2022.05
2026-04-02 14:56:32,9.29,9.32,9.298,9.31,-0.03,66814.0,2061.45
2026-04-02 16:03:34,9.29,9.32,9.302,9.316,-0.03,66819.0,2058.79
2026-04-02 17:50:10,9.29,9.32,9.298,9.31,-0.03,66883.0,2054.16
2026-04-02 18:57:38,9.28,9.3,9.296,9.3,-0.02,66987.0,2058.43
2026-04-02 19:52:27,9.28,9.31,9.29,9.304,-0.03,67000.0,2061.86
2026-04-02 20:35:44,9.29,9.32,9.298,9.31,-0.03,66974.0,2069.12
2026-04-03 03:17:50,9.3,9.33,9.306,9.324,-0.03,66626.0,2054.81
2026-04-03 05:45:20,9.29,9.34,9.3,9.326,-0.05,66742.0,2061.64
2026-04-03 09:04:33,9.29,9.34,9.304,9.33,-0.05,66972.0,2061.95
2026-04-03 13:21:36,9.31,9.33,9.314,9.318,-0.02,66660.0,2046.42
2026-04-03 16:52:38,9.3,9.33,9.312,9.32,-0.03,67014.0,2054.05
2026-04-03 20:47:06,9.3,9.32,9.308,9.316,-0.02,66883.0,2053.6
2026-04-04 02:50:17,9.3,9.33,9.304,9.324,-0.03,66820.0,2048.37
2026-04-04 05:24:16,9.29,9.33,9.302,9.328,-0.04,66879.0,2051.48
2026-04-04 08:53:05,9.29,9.33,9.298,9.328,-0.04,66948.0,2051.0
2026-04-04 13:13:43,9.31,9.34,9.314,9.336,-0.03,67083.0,2049.96
2026-04-04 16:46:34,9.29,9.32,9.302,9.32,-0.03,67487.0,2059.63
2026-04-04 20:42:07,9.31,9.33,9.314,9.33,-0.02,67266.0,2063.36
2026-04-05 03:27:58,9.3,9.33,9.306,9.326,-0.03,67142.0,2057.92
